x,y,label,data,node
9,6.5,Community Engagement,"Subtopics: 'Religiosity' and 'Volunteering'",10
9.5,8.5,Religiosity,"### Religion, Social Networks, and Life Satisfaction

[View source](https://www.semanticscholar.org/paper/Religion%2C-Social-Networks%2C-and-Life-Satisfaction-Lim-Putnam/622be34f0d7341c2c252647bb14d30679bf3ef4f)

- Used data from the Faith Matters Study in the US to further understand how religion affects life satisfaction
- Results indicated that for religion to have a positive effect on life satisfaction, respondents must regularly attend religious services and have social relationships within the religious community (accompanied by a personal sense of religious identity)",11
11,7,Volunteering,"### Self-Esteem, Self-Efficacy, and Social Connectedness as Mediators of the Relationship Between Volunteering and Well-Being

[View source](https://www.semanticscholar.org/paper/Self-Esteem%2C-Self-Efficacy%2C-and-Social-as-Mediators-Brown-Hoye/7ce4f9ce2c2f04af8583a595b349571705a627e0)

- Brown, Hoye, and Nicholson use survey data from ~3000 participants in Victoria, Australia to investigate the relationship between volunteering and well-being
- Results showed that the increased social connectedness associated with volunteering was the strongest first step in higher well-being; self-esteem and self-efficacy also contributed to the mediating relationship",12
8.5,9,Leisure Activities,"### Ageing, Leisure, and Social Connectedness: How could Leisure Help Reduce Social Isolation of Older People?

[View source](https://www.semanticscholar.org/paper/Ageing%2C-Leisure%2C-and-Social-Connectedness%3A-How-Help-Toepoel/af5d2749773ce028f8ef7d863c1674a74adefc9a)

- Study investigates the relationship between older people's social relationships and their participation in leisure activities
- Surveyed ~5900 Dutch participants about their participation in 10 different leisure categories
- Found that the rate of participation is lower for older people, but their quality of social interactions was higher, and that active leisure activities (e.g. voluntary work, sports, and reading) are predictors of social connectedness whereas passive leisure activities (e.g. television and radio) are not",13
6.5,8.5,Age and Cohort,"### Life course social connectedness: Age-cohort trends in social participation

[View source](https://www.sciencedirect.com/science/article/pii/S1040260818301874)

This paper sets out to investigate the question: are changes in Americans' social connectedness a consequence of the change in population age composition or of cohort changes? 

Since social disengagement or isolation is considered more common among older people, many studies focus on their social connectedness; however, it is also necessary to study younger populations so that comparisons can be made.

Focusing on the ""social participation"" measure of social connectedness, Ang finds that informal social participation decreases with age, but formal social participation increases, which contradicts the idea that older adults socially disengage entirely. He also finds that informal social participation remains stable across cohorts.",14
9,2.5,Technology,"### The Effect of Information Communication Technology Interventions on Reducing Social Isolation in the Elderly: A Systematic Review

[View source](https://pubmed.ncbi.nlm.nih.gov/26822073/)

In a review conducted by Chen and Schultz of 25 publications concerning the use of information and communication technologies (ICT) to reduce social isolation in the elderly, ICT use was found to temporarily positively affect social connectedness and support (results did not last longer than 6 months). The evidence for ICT's effect on loneliness was inconclusive.",15
8,1.5,Transportation,"### Transport and Children's Wellbeing

[View source](https://www.sciencedirect.com/science/article/pii/B978012814694100004X?via%3Dihub)

- Transportation has a relationship to a child's social wellbeing by influencing their social connections, interactions, and support
- It can influence these intrinsically (interactions during a trip) and through access (helping them reach places involving social activity)",16
5.5,3.5,Urban Design,"### Social Capital and the Built Environment: The Importance of Walkable Neighborhoods

[View source](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1448008/)

Leyden surveyed 279 households in Galway, Ireland to investigate the relationship between neighbourhood and social capital. He assessed social capital by asking how well respondents knew their neighbours and how socially engaged they were and by using a Political Participation Index and a Trust Index. Neighbourhood walkability was the only measure that had a statistically significant effect on all four of these measures of social capital, and it was the most important predictor of the Trust Index. It seems that a correlation between the two concepts exists, but the study used a small sample size and cannot assert that neighbourhood walkability causes social engagement and not vice versa (that socially engaged people choose to live in more walkable neighbourhoods).

### Outdoor public recreation spaces and social connectedness among adolescents

[View source](https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-12558-6)

- Study of adolescents in Melbourne, Australia found no significant association between social connectedness and visiting or engaging in physical activity in outdoor public recreation spaces",17
4.5,1.5,Brain Development,"### Social connectedness, mental health and the adolescent brain

[View source](https://pubmed.ncbi.nlm.nih.gov/28506925/)

- Brain maturation and the social environment in the adolescent period have reciprocal interactions: differences in social ability, partially determined by genetic brain influences, affect social ties, and social networks influence individual behaviour and mental health
- These reciprocal interactions can increase risk or promote resilience for future health outcomes, including mental illness",18
7.5,7,Bullying,"### Remaining connected in the face of cyberbullying: Why social connectedness is important for mental health

[View source](https://onlinelibrary.wiley.com/doi/10.1002/pits.22232)

- Study surveyed 229 adolescents, and the results indicated that social connectedness may form a protective buffer against negative mental health outcomes brought about by cyberbullying",19
